id,Title,Authors,id_original,Title_original,OBS,Validação Raphael,Justificativa Raphael,Obs Raphael,Validação Guilherme,Justificativa Guilherme,Obs Guilherme,Secundário,Decisão Final,Repetido
1388,Tapas are free! Training-Free Adaptation of Programmatic Agents via LLM-Guided Program Synthesis in Dynamic Environments,"Jinwei Hu, Yi Dong, Youcheng Sun, Xiaowei Huang",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1409
1389,Reinforcement Learning Meets Large Language Models: A Survey of Advancements and Applications Across the LLM Lifecycle,"Keliang Liu, Dingkang Yang, Ziyun Qian, Weijie Yin, Yuchi Wang, Hongsheng Li, Jun Liu, Peng Zhai, Yang Liu, Lihua Zhang",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1410
1390,Beyond Formal Semantics for Capabilities and Skills: Model Context Protocol in Manufacturing,"Luis Miguel Vieira da Silva, Aljosha Kocher, Felix Gehlhoff",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,"1404,1411,1425"
1391,Mathematical Framing for Different Agent Strategies,"Philip Stephens, Emmanuel Salawu",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1412
1392,AMA: Adaptive Memory via Multi-Agent Collaboration,"Weiquan Huang, Zixuan Wang, Hehai Lin, Sudong Wang, Bo Xu, Qian Li, Beier Zhu, Linyi Yang, Chengwei Qin",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,"1387,1408,1413"
1393,AgentOrchestra: Orchestrating Hierarchical Multi-Agent Intelligence with the Tool-Environment-Agent(TEA) Protocol,"Wentao Zhang, Liang Zeng, Yuzhen Xiao, Yongcong Li, Ce Cui, Yilei Zhao, Rui Hu, Yang Liu, Yahui Zhou, Bo An",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1414
1394,Multi-Agent Systems for Learning Assessment in Education: A Comprehensive Survey,Ruobing Zhang,71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1415
1395,Publisher's Protocol: Architecting a Machine-Consumable Content Framework for the Agentic AI Era,"Ram Joshi, Sriram Panyam, Praveen Gujar, Gunjan Paliwal",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1416
1396,Agentic AI for Explainable Data Analysis in District Heating Systems: An AutoGen-Based Approach,"Matija Å peletiÄ, Stevica CvetkoviÄ, Milan ZdravkoviÄ",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1417
1397,Lumos: Let there be Language Model System Certification,"Isha Chaudhary, Vedaant V. Jain, Avaljot Singh, Kavya Sachdeva, Sayan Ranu, Gagandeep Singh",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,1418
